9442937;Clemens Wagner 0003;;http://bibserv7.bib.uni-mannheim.de/madoc/volltexte/2004/721/index.html|https://d-nb.info/972345981|https://d-nb.info/972575081|https://nbn-resolving.org/urn:nbn:de:bsz:180-madoc-7213;;;;;phd/de/Wagner2004;17/07/2021;;;;;1-178;;;University of Mannheim, Germany;;;;;Virtuelle Realitäten für die chirurgische Ausbildung: Strukturen, Algorithmen und ihre Anwendung.;;2003
9449545;Parastoo Sadeghi;;http://handle.unsw.edu.au/1959.4/32310|https://www.base-search.net/Record/0e1c5a95df19415bafdfcaf19a437d98ac6c9efaddc7527a2e6be11e3e8cb305|https://www.base-search.net/Record/d80bc3a90c6d05789494833d8a1fe834a6142455690a6b917814d140a747a806;;;;;phd/basesearch/Sadeghi06;15/11/2018;;base-search.net (ftunswworks:oai:unsworks.unsw.edu.au:1959.4/32310);source;;;;;University of New South Wales, Sydney, Australia;;;;;Modelling, information capacity, and estimation of time-varying channels in mobile communication systems.;;2006
9443200;Marco Grimm 0001;;https://d-nb.info/983260567;;;978-3-8334-7007-3;;phd/de/Grimm2006;17/07/2021;;;;;1-160;;;Hamburg University of Technology;;;;;Hybrides System zur Bestimmung der Position und Orientierung eines Eingabegerätes mittels Bewegungssensorik und Bildverarbeitung.;;2006
9405523;Omar S. Aldabbas;;https://ethos.bl.uk/OrderDetails.do?uin=uk.bl.ethos.502521;;;;;phd/ethos/Aldabbas08;05/04/2022;;British Library, EThOS;source;;;;;De Montfort University, Leicester, UK;;;;;A Framework for Mobility.andTemporal Dimensions of Grid Systems.;;2008
9429642;Kalou Cabrera Castillos;;https://tel.archives-ouvertes.fr/tel-00924485;oa;;;;phd/hal/CabreraCastillos13;21/07/2020;;;;;;;;University of Franche-Comté, Besançon, France;;;;;Ge'ne'ration automatique de sce'narios de tests à partir de proprie'te's temporelles et de modèles comportementaux. (Automated test scenario generation from termporal properties and behavioural models).;;2013
9420318;Anne-Sophie Dirand;;https://tel.archives-ouvertes.fr/tel-03004812;;;;;phd/hal/Dirand20;23/12/2020;;;;;;;;University of Paris-Saclay, France;;;;;Développements méthodologiques pour l'utilisation de caractéristiques radiomiques. (Methodological developments in radiomics).;;2020
9381205;Frank-Reinhard Bartsch;;https://d-nb.info/94473913X;;;;;phd/dnb/Bartsch94;17/07/2021;;;;;;;;University of Heidelberg, Germany;;;;;Der Einfluss von Übertragungsbandbreiten und Kompressionsverfahren auf teleradiologische Konsultationen.;;1994
9407289;José Luis Cabral de Moura Borges;;https://ethos.bl.uk/OrderDetails.do?uin=uk.bl.ethos.393733;;;;;phd/ethos/CabraldeMouraBorges00;05/04/2022;;British Library, EThOS;source;;;;;University College London, UK;;;;;A data mining model to capture user web navigation patterns.;;2000
9449180;Maxime Cordy;;https://hdl.handle.net/2078.2/152729|https://www.base-search.net/Record/c37d48641cd184ee8ab6bcdb04c1185a6117d2445d63cb579cdf4510054defee;;;;;phd/basesearch/Cordy14;04/05/2022;;base-search.net (ftunivlouvain:oai:dial.uclouvain.be:boreal:152729);source;;;;;Catholic University of Louvain, Louvain-la-Neuve, Belgium;;;;;Model Checking for the Masses.;;2014
9366570;Shadi Mohagheghi;;https://www.escholarship.org/uc/item/2b17v2v5;;;;;phd/us/mohagheghi20;15/06/2022;;;;;;;;University of California, Santa Barbara, USA;;;;;Network Science of Teams: Dynamics, Algorithms, and Implications.;;2020
9372385;Tien-Tsin Wong;;http://library.cuhk.edu.hk/record=b6073024;;;;;phd/ndltd/Wong98;29/09/2017;;ndltd.org (oai:cuhk-dr:cuhk_342691);source;;;;;Chinese University of Hong Kong, Hong Kong;;;;;Time-critical modeling and rendering: geometry-based and image-based approaches.;;1998
9387111;Heiko Friedrich;;http://scidok.sulb.uni-saarland.de/volltexte/2012/4917/|https://d-nb.info/1052549969|https://nbn-resolving.org/urn:nbn:de:bsz:291-scidok-49170;;;;;phd/dnb/Friedrich12;17/07/2021;;;;;;;;Saarland University;;;;;Ray tracing techniques for computer games and isosurface visualization.;;2012
9412504;Constantine Lazos;;https://ethos.bl.uk/OrderDetails.do?uin=uk.bl.ethos.462881;;;;;phd/ethos/Lazos74;05/04/2022;;British Library, EThOS;source;;;;;University of Southampton, UK;;;;;Work-Load of a Computer System A Simulation Study.;;1974
9395020;Christian Widmer;;https://d-nb.info/1068856017|https://nbn-resolving.org/urn:nbn:de:kobv:83-opus4-59075|https://opus4.kobv.de/opus4-tuberlin/frontdoor/index/index/docId/5907;;;;;phd/dnb/Widmer14;17/07/2021;;;;;;;;Berlin Institute of Technology;;;;;Regularization-based multitask learning with applications in computational biology.;;2014
9401617;Felix Büsching;;https://d-nb.info/1054936501;;;;;phd/dnb/Busching13;17/07/2021;;;;;1-169;;;University of Braunschweig - Institute of Technology;;;;;Vom Körper zum Server: mobile und drahtlose Datenerfassung und -übertragung in Gesundheitspflege-, Notfall- und AAL-Szenarien.;;2013
9450814;Sina Poorkasmaei;;http://n2t.net/ark:/13030/m5001ggt|http://www.escholarship.org/uc/item/4rj187qt|https://www.base-search.net/Record/898e8923d4c72db94bad48fb522284c87a50d54773f1888096c52693f581ab9d;;;;;phd/basesearch/Poorkasmaei14;05/05/2017;;base-search.net (ftcdlib:qt4rj187qt);source;;;;;University of California, Irvine, USA;;;;;Noncoherent Detection Schemes for Multi-User/Multi-Node Communication Systems.;;2014
9371834;Ezzeldin Omar Hussein Hamed;;https://hdl.handle.net/1721.1/117834;;;;;phd/ndltd/Hamed18;04/05/2022;;ndltd.org (oai:dspace.mit.edu:1721.1/117834);source;;;;;Massachusetts Institute of Technology, Cambridge, USA;;;;;Practical distributed MIMO for WiFi and LTE.;;2018
